system:index,area,class,territory,year,.geo
0_10_4,8899.577715063522,9,11,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_5,844548.7818214708,11,11,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_6,64394.02591814516,12,11,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_7,19542.79108993527,15,11,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_8,11.629032000732419,20,11,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_9,39163.96504755855,21,11,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_10,8462.792749579006,23,11,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_11,503.57511675415014,24,11,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_12,2481.0169452087416,25,11,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_13,3464.193833856202,29,11,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_14,5466.688921441643,30,11,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_15,15.955985784912109,31,11,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_16,20811.685776818693,32,11,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_17,429450.63325926947,33,11,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_18,10.995123657226568,35,11,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_19,21.02579943237305,39,11,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_20,1046.8831035339358,41,11,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_21,27.787691870117268,46,11,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_22,157.09553769531138,47,11,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_23,30.41540878295902,48,11,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_24,3594.641137255856,49,11,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_25,5286.197037072803,50,11,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_0,3.379958516980276E7,3,12,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_1,4192447.8346746434,4,12,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_2,94617.82852641994,5,12,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
